"supplier","model","A","B","C","D","E","F","G","H","I","J","K"
"lider","2HS-158",47.63,31.75,15.87,7.938,7.938,7.938,7.938,3.97,23.81,3.175,
"lider","2HS-160",48,32,16,8,8,8,8,4,24,4,
"lider","2HS-190",57,38,19,9.5,9.5,9.5,9.5,4.75,28.5,4,
"lider","4HS-190",57,38,19,9.5,9.5,9.5,9.5,4.75,47.5,,4.5
"lider","4HS-200",60,40,20,10,10,10,10,5,50,,4.5
"lider","4HS-220",66,44,22,11,11,11,11,5.5,56,,4.5
"lider","4HS-222",66.6,44.4,22.2,11.1,11.1,11.1,11.1,5.55,56,,4
"lider","4HS-250",75,50,25,12.5,12.5,12.5,12.5,6.25,62.5,,6
"lider","4HS-254",76.2,50.8,25.4,12.7,12.7,12.7,12.7,6.35,63.5,,"5/5.5"
"lider","4HS-280",84,56,28,14,14,14,14,6,72,,5.5
"lider","4HS-286",85.8,57.2,28.6,14.3,14.3,14.3,14.3,7.15,71,,"5/5.5"
"lider","4HS-318",95.23,63.5,31.75,15.87,15.87,15.87,15.87,7.93,79.39,,5.5
"lider","4HS-320",96,64,32,16,16,16,16,8,80,,6
"lider","4HS-350",105,70,35,17.5,17.5,17.5,17.5,8.75,87,,6
"lider","4HS-360",108,72,36,18,18,18,18,9,92,,6
"lider","4HS-380",114,76,38,19,19,19,19,9.5,95,,5.5
"lider","4HS-400",120,80,40,20,20,20,20,10,100,,7
"lider","4HS-400 B",128,86,40,22,22,22,22,11,112,,6
"lider","4HS-444",133.2,88.8,44.4,22.2,22.2,22.2,22.2,11.1,111,,7
"lider","4HS-500",150,100,50,25,25,25,25,12.5,125,,8
"lider","4HS-508",152.4,101.6,50.8,25.4,25.4,25.4,25.4,12.7,127,,8
"lider","4HS-571",171.45,114.3,57.15,28.58,28.58,28.58,28.58,7.94,155.57,,7.94
"lider","4HS-600",180,120,60,30,30,30,30,15,150,,9
"lider","4HS-635",190.5,127,63.5,31.75,31.75,31.75,31.75,15.88,171.46,,9.92
"lamina","4HS-700",210,140,70,35,35,35,35,17.5,175,,10.5
"lamina","4HS-800",240,160,80,40,40,40,40,20,200,,10.5
"lamina","4HS-900",270,180,90,45,45,45,45,22.5,225,,10.5
"lamina","4HS-1000",300,200,100,50,50,50,50,25,250,,10.5
